"","date","confirm","suspect","dead","heal"
"1","01.13","41","0","1","0"
"2","01.14","41","0","1","0"
"3","01.15","41","0","2","5"
"4","01.16","45","0","2","8"
"5","01.17","62","0","2","12"
"6","01.18","198","0","3","17"
"7","01.19","275","0","4","18"
"8","01.20","291","54","6","25"
"9","01.21","440","37","9","25"
"10","01.22","571","393","17","25"
"11","01.23","830","1072","25","34"
"12","01.24","1287","1965","41","38"
"13","01.25","1975","2684","56","49"
"14","01.26","2744"," 5794","80","51"
"15","01.27","4515","6973","106","60"
"16","01.28","5974","9239","132","103"
"17","01.29","7711","12167","170","124"
"18","01.30","9692","15238","213","171"
"19","01.31","11791","17988","259","243"
"20","02.01","14380","19544","304","328"
"21","02.02","17205","21558","361","475"
